batter,avg_exit_velocity,max_exit_velocity,avg_launch_angle,batted_balls,player_name
624641,106.85,108.3,24.5,2,edmundo sosa
543518,98.8,98.8,-20.0,1,scott mcgough
643265,97.76666666666668,108.3,26.0,3,garrett cooper
673962,94.6,105.4,5.25,4,josh jung
655316,94.5,94.5,0.0,1,andruw monasterio
683083,94.2,97.4,-15.5,2,nasim nuñez
624431,93.25,99.9,-4.0,2,jose trevino
657656,93.06,99.8,18.2,5,ramón laureano
656811,92.18333333333334,108.6,20.916666666666668,12,ryan o'hearn
686527,91.96923076923076,109.8,7.0,13,dominic canzone
671277,90.2,110.4,17.647058823529413,17,luis garcía
661388,90.06190476190476,111.5,14.571428571428571,21,william contreras
575929,89.96666666666665,110.8,22.416666666666668,12,willson contreras
668853,89.84,98.0,7.0,5,austin shenton
686554,89.5125,107.5,3.0,16,oliver dunn
679822,89.30000000000001,89.7,31.0,2,justin foscue
670541,88.96896551724137,113.9,17.20689655172414,29,yordan álvarez
665833,88.73333333333333,104.9,15.8,30,oneil cruz
669004,88.51428571428572,107.8,23.75,28,mj melendez
676369,88.47826086956522,108.5,18.043478260869566,23,nelson velázquez
663656,88.37241379310345,106.9,20.620689655172413,29,kyle tucker
593934,88.28421052631579,114.9,4.578947368421052,19,miguel sanó
665750,88.16111111111111,103.9,3.7222222222222223,18,leody taveras
641857,87.93333333333334,109.3,23.75,36,ryan mcmahon
676059,87.87307692307692,109.6,16.26923076923077,26,jordan westburg
621566,87.66129032258064,110.7,25.258064516129032,31,matt olson
605170,87.65,91.3,-12.0,2,víctor caratini
671739,87.48214285714286,114.4,12.928571428571429,28,michael harris
592885,87.47777777777777,112.4,11.166666666666666,18,christian yelich
657136,87.475,104.1,31.25,8,connor wong
808982,87.47241379310344,106.0,6.827586206896552,29,jung hoo lee
672820,87.45,96.3,15.333333333333334,6,lenyn sosa
681351,87.38125,111.2,26.90625,32,logan o'hoppe
665161,87.37666666666668,109.5,14.133333333333333,30,jeremy peña
455117,87.3,101.7,30.2,15,martín maldonado
663538,87.28333333333335,103.9,13.583333333333334,24,nico hoerner
677951,87.25555555555556,113.3,19.55555555555556,45,bobby witt
571771,87.22857142857143,106.4,3.071428571428572,14,enrique hernández
669352,87.10000000000001,102.3,12.333333333333334,3,bubba thompson
595777,87.012,107.1,22.64,25,jurickson profar
623912,86.97200000000001,108.0,1.52,25,harold ramírez
656180,86.9470588235294,108.9,17.41176470588235,17,riley adams
671732,86.94444444444444,107.0,12.11111111111111,18,lawrence butler
518595,86.86874999999999,109.8,18.1875,16,travis d'arnaud
542303,86.86129032258064,107.1,23.70967741935484,31,marcell ozuna
663611,86.81875,104.6,9.625,16,nick madrigal
664728,86.77777777777777,107.1,3.333333333333333,27,kyle isbel
596103,86.75555555555555,97.0,28.11111111111111,9,austin slater
608336,86.71764705882353,109.0,24.647058823529413,17,joey gallo
594807,86.61666666666667,107.5,25.33333333333333,12,adam duvall
666135,86.60799999999999,105.5,16.12,25,alex kirilloff
683002,86.57142857142857,106.9,14.821428571428571,28,gunnar henderson
669134,86.48666666666666,106.8,7.2,15,luis campusano
665742,86.39696969696969,113.3,12.242424242424242,33,juan soto
673548,86.31212121212121,115.0,23.12121212121212,33,seiya suzuki
521692,86.25151515151515,110.6,17.21212121212121,33,salvador pérez
543877,86.24,108.8,23.6,10,christian vázquez
664913,86.14642857142857,110.9,20.928571428571427,28,seth brown
664034,85.96000000000001,110.9,12.666666666666666,15,ty france
691023,85.83333333333333,113.2,13.848484848484848,33,jordan walker
621043,85.79473684210525,109.7,14.473684210526317,19,carlos correa
807799,85.788,105.3,5.76,25,masataka yoshida
683737,85.68148148148148,109.0,23.11111111111111,27,michael busch
676694,85.63571428571429,101.8,6.857142857142857,14,jake meyers
663728,85.63333333333333,110.5,10.25,24,cal raleigh
